333,"PRP(a02,UU)","producer price","pct","UU",
334,"PRP(a02,NN)","producer price","pct","NN",
335,"PRS(g01,UU)","producer price of composite","pct","UU",
336,"PRS(g01,NN)","producer price of composite","pct","NN",
337,"PRS(g02,UU)","producer price of composite","pct","UU",
338,"PRS(g02,NN)","producer price of composite","pct","NN",
339,"PRX(g01,UU)","price of exports at source","pct","UU",
340,"PRX(g01,NN)","price of exports at source","pct","NN",
341,"PRX(g02,UU)","price of exports at source","pct","UU",
342,"PRX(g02,NN)","price of exports at source","pct","NN",
343,"PRXX(UU)","price of consumer goods expected shock","pct","UU",
344,"PRXX(NN)","price of consumer goods expected shock","pct","NN",
345,"PRY(g01,UU)","purchase price of composite","pct","UU",
346,"PRY(g01,NN)","purchase price of composite","pct","NN",
347,"PRY(g02,UU)","purchase price of composite","pct","UU",
348,"PRY(g02,NN)","purchase price of composite","pct","NN",
349,"RB10(UU)","interest rate, 10-year, real","del","UU",
350,"RB10(NN)","interest rate, 10-year, real","del","NN",
351,"REER(UU)","trade-weighted real exch rate, FC/domestic","pct","UU",
352,"REER(NN)","trade-weighted real exch rate, FC/domestic","pct","NN",
353,"REXC(UU)","real exch rate as US$ per unit of regions currency","pct","UU",
354,"REXC(NN)","real exch rate as US$ per unit of regions currency","pct","NN",
355,"REXN(UU)","real exchange rate with capital controls","pct","UU",
356,"REXN(NN)","real exchange rate with capital controls","pct","NN",
357,"RISE(a01,UU)","equity risk premium by sector by region","del","UU",
358,"RISE(a01,NN)","equity risk premium by sector by region","del","NN",
359,"RISE(a02,UU)","equity risk premium by sector by region","del","UU",
360,"RISE(a02,NN)","equity risk premium by sector by region","del","NN",
361,"RISH(UU)","risk premium shock for human wealth","del","UU",
362,"RISH(NN)","risk premium shock for human wealth","del","NN",
363,"RISR(UU)","risk premium in the yield curve","del","UU",
364,"RISR(NN)","risk premium in the yield curve","del","NN",
365,"RISW(UU)","risk premium for human wealth","del","UU",
366,"RISW(NN)","risk premium for human wealth","del","NN",
367,"RISY(UU)","risk premium for R capital","del","UU",
368,"RISY(NN)","risk premium for R capital","del","NN",
369,"RISZ(UU)","risk premium for HH capital","del","UU",
